Count_Nuclei,Count_RO_PositiveNuclei,Count_h2AX,FileName_DAPI,FileName_Green,Group,ImageNumber,Math_PercentPositiveNuclei,Experiment
39,12,34,E22_PGVG_152_DAPI.TIF,E22_PGVG_152_FITC.TIF,PGVG,22,30.76923077,3
30,7,13,E22_PGVG_153_DAPI.TIF,E22_PGVG_153_FITC.TIF,PGVG,23,23.33333333,3
51,16,95,E22_PGVG_154_DAPI.TIF,E22_PGVG_154_FITC.TIF,PGVG,24,31.37254902,3
16,2,4,E22_PGVG_155_DAPI.TIF,E22_PGVG_155_FITC.TIF,PGVG,25,12.5,3
39,11,49,E22_PGVG_156_DAPI.TIF,E22_PGVG_156_FITC.TIF,PGVG,26,28.20512821,3
30,12,51,E22_PGVG_157_DAPI.TIF,E22_PGVG_157_FITC.TIF,PGVG,27,40,3
35,10,28,E22_PGVG_158_DAPI.TIF,E22_PGVG_158_FITC.TIF,PGVG,28,28.57142857,3
20,5,12,E22_PGVG_24_DAPI.TIF,E22_PGVG_24_FITC.TIF,PGVG,38,25,3
30,12,96,E23_NIC3_25_DAPI.TIF,E23_NIC3_25_FITC.TIF,50mg,39,40,2
39,9,35,E23_NIC3_26_DAPI.TIF,E23_NIC3_26_FITC.TIF,50mg,40,23.07692308,2
54,10,63,E23_NIC3_27_DAPI.TIF,E23_NIC3_27_FITC.TIF,50mg,41,18.51851852,2
21,7,36,E23_NIC3_28_DAPI.TIF,E23_NIC3_28_FITC.TIF,50mg,42,33.33333333,2
28,15,138,E23_NIC3_29_DAPI.TIF,E23_NIC3_29_FITC.TIF,50mg,43,53.57142857,2
21,9,55,E23_NIC3_31_DAPI.TIF,E23_NIC3_31_FITC.TIF,50mg,45,42.85714286,2
21,10,92,E23_NIC3_32_DAPI.TIF,E23_NIC3_32_FITC.TIF,50mg,46,47.61904762,2
15,8,58,E23_NIC3_33_DAPI.TIF,E23_NIC3_33_FITC.TIF,50mg,47,53.33333333,2
31,14,66,E23_NIC3_34_DAPI.TIF,E23_NIC3_34_FITC.TIF,50mg,48,45.16129032,2
34,32,200,E23_NIC3_35_DAPI.TIF,E23_NIC3_35_FITC.TIF,50mg,49,94.11764706,2
17,4,16,E24_NIC3_136_DAPI.TIF,E24_NIC3_136_FITC.TIF,50mg,50,23.52941176,3
17,12,45,E24_NIC3_137_DAPI.TIF,E24_NIC3_137_FITC.TIF,50mg,51,70.58823529,3
25,17,68,E24_NIC3_138_DAPI.TIF,E24_NIC3_138_FITC.TIF,50mg,52,68,3
21,11,44,E24_NIC3_139_DAPI.TIF,E24_NIC3_139_FITC.TIF,50mg,53,52.38095238,3
61,29,120,E24_NIC3_140_DAPI.TIF,E24_NIC3_140_FITC.TIF,50mg,54,47.54098361,3
29,13,56,E24_NIC3_141_DAPI.TIF,E24_NIC3_141_FITC.TIF,50mg,55,44.82758621,3
21,12,49,E24_NIC3_142_DAPI.TIF,E24_NIC3_142_FITC.TIF,50mg,56,57.14285714,3
25,14,67,E25_NIC2_36_DAPI.TIF,E25_NIC2_36_FITC.TIF,25mg,58,56,2
24,9,62,E25_NIC2_37_DAPI.TIF,E25_NIC2_37_FITC.TIF,25mg,59,37.5,2
15,9,36,E25_NIC2_39_DAPI.TIF,E25_NIC2_39_FITC.TIF,25mg,61,60,2
27,9,46,E25_NIC2_40_DAPI.TIF,E25_NIC2_40_FITC.TIF,25mg,62,33.33333333,2
41,15,60,E25_NIC2_41_DAPI.TIF,E25_NIC2_41_FITC.TIF,25mg,63,36.58536585,2
